item,cuisine,cholesterol,ash,carotene,vit_a,vit_e,thiamin,riboflavin,niacin,vit_c,calcium,potassium,magnesium,iron,zinc,selenium,copper,manganese,iodine,mono,poly,health_star,calories
Tofu-stuffed Cucumber,Sichuan cuisine,6.2,1.686,83.39999999999999,1.8,0.0,0.033966666666666666,0.0402,0.26866666666666666,8.28,76.98666666666666,137.18666666666667,24.099999999999998,1.1943333333333335,0.5503,1.2206666666666666,0.1406,0.22266666666666668,0.0,1.3795830826054807,1.072600773537818,3,105.44361333333335
Vinegar-Braised Mandarin Fish,Jiangsu cuisine,141.825,0.10625,0.0,115.175,4.6082875,0.0579375,0.152875,7.39925,10.225,110.30125,285.7875,48.72625,2.788375,1.5198000000000003,32.006875,0.130875,0.28155,2.08125,2.2874999999999996,3.359125,4,263.3296025
Clay Pot Chicken,Cantonese cuisine,131.325,3.0190875,44.255,59.4,0.0075,0.08624,0.27754375,9.794425,1.984875,29.401,477.099875,45.571875,3.76635,2.009685,15.5438375,0.16885,0.70810125,0.0,4.170603512697214,3.242568432623952,2,402.66690125
Sour Soup with Fatty Beef,Sichuan cuisine,0.08333333333333333,3.326,25.383333333333336,16.7,0.3,0.04396666666666666,0.051616666666666665,1.2516666666666667,15.26,29.391666666666666,141.99833333333333,16.88,1.9109999999999998,0.4326666666666667,0.9740000000000001,0.06883333333333333,0.4245666666666667,12.825000000000001,3.473261773527174,2.700397904234043,2,277.75823166666663
Silk Ball Sea Cucumber,Hunan cuisine,327.09999999999997,3.497833333333333,0.0,88.675,6.031547297957004,0.28459327796939776,0.2496766113027311,8.599331949234942,3.8044352171218496,282.2658593614566,334.89015947642866,171.93147620058127,12.826698892721287,2.4776349280976193,69.754,0.13011666666666666,0.7021000000000001,18.393333333333334,0.6833333333333332,0.7665107420182072,1,426.28011946510566
Hangzhou Style Good Chicken Pot,Zhejiang cuisine,70.08333333333333,1.0861181683333332,0.0,21.061891666666668,1.1519670655666667,0.08347889466666669,0.15237172123333337,8.302234589666666,1.49536159,21.310803423333333,184.31693650333332,28.66729725,1.1775194796666668,1.5812628899999999,12.021936133333334,0.013658333333333333,0.09781791666666667,13.022661336666667,1.2234816666666666,0.43393530033333333,4,140.06423633494668
Egg Rice Batter Pancake,Fujian cuisine,514.8,0.0,0.0,205.92,1.8352899999999999,0.0968,0.23759999999999998,0.176,0.0,50.042,114.46899999999998,8.929,1.7873,0.9760700000000002,12.584,0.13965,0.03529,0.0,0.387,0.3537,1,710.086447
"Clear Soup with Duck ""Firewood Bundles""",Hunan cuisine,15.705000000000002,1.048,0.0,6.063000000000001,0.7885500000000001,0.302122,0.45164799999999994,10.29024,1.9,37.0636,272.4248,8.5286,3.76704,0.491834,2.5518799999999997,0.035561999999999996,0.14619200000000002,6.502800000000001,0.3,0.2391,4,379.0801227
Cabbage Heart with Cream,Jiangsu cuisine,9.85,0.24675,0.0,4.77,1.1044,0.07291063186880126,0.129425,1.612289869508005,0.9,145.1464257661696,78.73259518645685,51.990263357797,1.3997785559370595,0.587797557793285,1.682632898360016,0.080931035244546,0.1648640419012106,6.25079809273926,0.125,0.05,5,107.1512552584251
Chrysanthemum Lobster Ball,Zhejiang cuisine,148.84166666666667,0.35000000000000003,736.4,393.2033333333333,2.1441833333333333,0.0949,0.15883333333333333,3.0468333333333333,71.56666666666666,143.09,203.15166666666664,34.821666666666665,2.0083333333333333,1.5778666666666668,21.594333333333335,0.22238333333333338,0.039,1.57,0.12333333333333334,0.323,2,132.44742666666667
